employee,month,score,messages,avg_msg_length,total_words,avg_words,pos_ratio,neg_ratio
bobette.riner@ipgdirect.com,2010-01,1,2,157.5,49,24.5,0.5,0.0
bobette.riner@ipgdirect.com,2010-02,8,14,326.35714285714283,681,48.642857142857146,0.6428571428571429,0.07142857142857142
bobette.riner@ipgdirect.com,2010-03,4,11,315.72727272727275,536,48.72727272727273,0.5454545454545454,0.18181818181818182
bobette.riner@ipgdirect.com,2010-04,4,6,255.83333333333334,213,35.5,0.6666666666666666,0.0
bobette.riner@ipgdirect.com,2010-05,3,4,189.0,130,32.5,0.75,0.0
bobette.riner@ipgdirect.com,2010-06,2,5,173.8,160,32.0,0.4,0.0
bobette.riner@ipgdirect.com,2010-07,8,12,304.25,573,47.75,0.75,0.08333333333333333
bobette.riner@ipgdirect.com,2010-08,4,9,378.8888888888889,584,64.88888888888889,0.6666666666666666,0.2222222222222222
bobette.riner@ipgdirect.com,2010-09,8,15,263.93333333333334,657,43.8,0.6666666666666666,0.13333333333333333
bobette.riner@ipgdirect.com,2010-10,6,6,304.8333333333333,315,52.5,1.0,0.0
bobette.riner@ipgdirect.com,2010-11,7,16,206.6875,553,34.5625,0.625,0.1875
bobette.riner@ipgdirect.com,2010-12,4,8,226.0,287,35.875,0.625,0.125
bobette.riner@ipgdirect.com,2011-01,10,17,227.1764705882353,641,37.705882352941174,0.7058823529411765,0.11764705882352941
bobette.riner@ipgdirect.com,2011-02,2,3,241.66666666666666,108,36.0,0.6666666666666666,0.0
bobette.riner@ipgdirect.com,2011-03,8,14,223.71428571428572,466,33.285714285714285,0.7142857142857143,0.14285714285714285
bobette.riner@ipgdirect.com,2011-04,8,15,294.4,659,43.93333333333333,0.7333333333333333,0.2
bobette.riner@ipgdirect.com,2011-05,1,1,227.0,29,29.0,1.0,0.0
bobette.riner@ipgdirect.com,2011-06,9,11,211.63636363636363,373,33.90909090909091,0.8181818181818182,0.0
bobette.riner@ipgdirect.com,2011-07,7,14,223.5,474,33.857142857142854,0.6428571428571429,0.14285714285714285
bobette.riner@ipgdirect.com,2011-08,2,3,455.3333333333333,219,73.0,0.6666666666666666,0.0
bobette.riner@ipgdirect.com,2011-09,8,11,269.6363636363636,481,43.72727272727273,0.8181818181818182,0.09090909090909091
bobette.riner@ipgdirect.com,2011-10,0,1,58.0,10,10.0,0.0,0.0
bobette.riner@ipgdirect.com,2011-11,9,16,472.1875,1162,72.625,0.625,0.0625
bobette.riner@ipgdirect.com,2011-12,3,3,747.3333333333334,379,126.33333333333333,1.0,0.0
don.baughman@enron.com,2010-01,8,9,229.0,304,33.77777777777778,0.8888888888888888,0.0
don.baughman@enron.com,2010-02,6,15,237.86666666666667,534,35.6,0.4666666666666667,0.06666666666666667
don.baughman@enron.com,2010-03,2,4,179.0,136,34.0,0.75,0.25
don.baughman@enron.com,2010-04,9,11,250.8181818181818,414,37.63636363636363,0.8181818181818182,0.0
don.baughman@enron.com,2010-05,16,23,307.8695652173913,1099,47.78260869565217,0.7391304347826086,0.043478260869565216
don.baughman@enron.com,2010-06,12,17,328.5882352941176,877,51.588235294117645,0.7647058823529411,0.058823529411764705
don.baughman@enron.com,2010-07,2,6,160.0,160,26.666666666666668,0.3333333333333333,0.0
